,name,display_name,description
756,cds_start_2076,CDS start,
757,scerevisiae_homolog_dn,dN with Saccharomyces cerevisiae,
758,pmexicana_homolog_associated_gene_name,Shortfin molly gene name,
759,mzebra_homolog_chromosome,Zebra mbuna chromosome/scaffold name,
760,acchrysaetos_homolog_dn,dN with Golden eagle,
761,cgcrigri_homolog_orthology_confidence,"Chinese hamster CriGri orthology confidence [0 low, 1 high]",
762,somatic_transcript_location,Transcript location (bp),Start of Variant on Transcript in Chromosomal Coordinates
763,cmilii_homolog_goc_score,Elephant shark Gene-order conservation score,
764,hsapiens_paralog_ds,Paralogue dS with Human,
765,mcaroli_homolog_chromosome,Ryukyu mouse chromosome/scaffold name,
766,rferrumequinum_homolog_ensembl_gene,Greater horseshoe bat gene stable ID,
767,bmutus_homolog_associated_gene_name,Wild yak gene name,
768,sfasciatus_homolog_ds,dS with Jewelled blenny,
769,eaasinus_homolog_chromosome,Donkey chromosome/scaffold name,
770,pranga_homolog_orthology_type,Indian glassy fish homology type,
771,lcrocea_homolog_subtype,Last common ancestor with Large yellow croaker,
772,eelectricus_homolog_goc_score,Electric eel Gene-order conservation score,
773,ptephrosceles_homolog_ensembl_gene,Ugandan red Colobus gene stable ID,
774,sift_score_2076,SIFT score,
775,hhucho_homolog_ensembl_gene,Huchen gene stable ID,
776,tnigroviridis_homolog_perc_id_r1,%id. query gene identical to target Tetraodon gene,
777,acalliptera_homolog_chromosome,Eastern happy chromosome/scaffold name,
778,vpacos_homolog_chrom_start,Alpaca chromosome/scaffold start (bp),
779,mapweight,Mapweight,
780,pmarinus_homolog_chromosome,Lamprey chromosome/scaffold name,
781,caperea_homolog_ensembl_gene,Brazilian guinea pig gene stable ID,
782,bthybrid_homolog_goc_score,Hybrid - Bos Taurus Gene-order conservation score,
783,mpfuro_homolog_dn,dN with Ferret,
784,psinensis_homolog_perc_id_r1,%id. query gene identical to target Chinese softshell turtle gene,
785,mlucifugus_homolog_goc_score,Microbat Gene-order conservation score,
786,peptide_location,Protein location (aa),Location of the SNP in the peptide
787,trubripes_homolog_goc_score,Fugu Gene-order conservation score,
788,vvulpes_homolog_ds,dS with Red fox,
789,scerevisiae_homolog_subtype,Last common ancestor with Saccharomyces cerevisiae,
790,saraneus_homolog_chrom_start,Shrew chromosome/scaffold start (bp),
791,neugenii_homolog_ds,dS with Wallaby,
792,csavignyi_homolog_chrom_start,C.savignyi chromosome/scaffold start (bp),
793,eaasinus_homolog_ensembl_gene,Donkey gene stable ID,
794,sift_prediction_2076,SIFT prediction,
795,exon_chrom_start,Exon region start (bp),
796,olatipes_homolog_ds,dS with Japanese medaka HdrR,
797,oanatinus_homolog_ensembl_peptide,Platypus protein or transcript stable ID,
798,mmurinus_homolog_ds,dS with Mouse Lemur,
799,external_gene_source,Source of gene name,
800,cjaponica_homolog_dn,dN with Japanese quail,
801,ngalili_homolog_ds,dS with Upper Galilee mountains blind mole rat,
802,cjaponica_homolog_perc_id_r1,%id. query gene identical to target Japanese quail gene,
803,gagassizii_homolog_perc_id,%id. target Agassiz's desert tortoise gene identical to query gene,
804,ccanadensis_homolog_wga_coverage,American beaver Whole-genome alignment coverage,
805,sformosus_homolog_perc_id_r1,%id. query gene identical to target Asian bonytongue gene,
806,mgallopavo_homolog_dn,dN with Turkey,
807,oprinceps_homolog_goc_score,Pika Gene-order conservation score,
808,mirbase_id,miRBase ID,
809,affy_hg_u95av2,AFFY HG U95Av2 probe,
810,mundulatus_homolog_wga_coverage,Budgerigar Whole-genome alignment coverage,
811,odegus_homolog_ensembl_peptide,Degu protein or transcript stable ID,
812,sdumerili_homolog_goc_score,Greater amberjack Gene-order conservation score,
813,fcatus_homolog_orthology_type,Cat homology type,
814,vvulpes_homolog_perc_id,%id. target Red fox gene identical to query gene,
815,cporosus_homolog_ensembl_peptide,Australian saltwater crocodile protein or transcript stable ID,
816,cjacchus_homolog_goc_score,Marmoset Gene-order conservation score,
817,oniloticus_homolog_subtype,Last common ancestor with Nile tilapia,
818,oaries_homolog_associated_gene_name,Sheep gene name,
819,umaritimus_homolog_orthology_type,Polar bear homology type,
820,sequence_external_source_name,,
821,pcoquereli_homolog_chrom_start,Coquerel's sifaka chromosome/scaffold start (bp),
822,btaurus_homolog_canonical_transcript_protein,Query protein or transcript ID,
823,ptroglodytes_homolog_chromosome,Chimpanzee chromosome/scaffold name,
824,lafricana_homolog_chrom_start,Elephant chromosome/scaffold start (bp),
825,clanigera_homolog_perc_id,%id. target Long-tailed chinchilla gene identical to query gene,
826,strutta_homolog_perc_id,%id. target River trout gene identical to query gene,
827,tgelada_homolog_chrom_end,Gelada chromosome/scaffold end (bp),
828,marmatus_homolog_perc_id,%id. target Zig-zag eel gene identical to query gene,
829,pcinereus_homolog_ensembl_peptide,Koala protein or transcript stable ID,
830,mnemestrina_homolog_ensembl_peptide,Pig-tailed macaque protein or transcript stable ID,
831,ccapucinus_homolog_ds,dS with Capuchin,
832,cgobio_homolog_goc_score,Channel bull blenny Gene-order conservation score,
833,cgchok1gshd_homolog_subtype,Last common ancestor with Chinese hamster CHOK1GS,
834,ccapucinus_homolog_perc_id,%id. target Capuchin gene identical to query gene,
835,omelastigma_homolog_orthology_type,Indian medaka homology type,
836,cldingo_homolog_chromosome,Dingo chromosome/scaffold name,
837,saraneus_homolog_dn,dN with Shrew,
838,btaurus_homolog_perc_id,%id. target Cow gene identical to query gene,
839,ccanadensis_homolog_associated_gene_name,American beaver gene name,
840,falbicollis_homolog_canonical_transcript_protein,Query protein or transcript ID,
841,sscrofa_homolog_goc_score,Pig Gene-order conservation score,
842,source_description,Variant source description,
843,ngalili_homolog_chromosome,Upper Galilee mountains blind mole rat chromosome/scaffold name,
844,sequence_gene_chrom_end,,
845,eelectricus_homolog_subtype,Last common ancestor with Electric eel,
846,rnorvegicus_homolog_ensembl_peptide,Rat protein or transcript stable ID,
847,ptroglodytes_homolog_perc_id_r1,%id. query gene identical to target Chimpanzee gene,
848,ptroglodytes_homolog_orthology_confidence,"Chimpanzee orthology confidence [0 low, 1 high]",
849,cabingdonii_homolog_chrom_start,Abingdon island giant tortoise chromosome/scaffold start (bp),
850,gene3d,Gene3D ID,
851,description,Gene description,
852,vursinus_homolog_chrom_start,Common wombat chromosome/scaffold start (bp),
853,pcinereus_homolog_goc_score,Koala Gene-order conservation score,
854,structure_transcript_stable_id,,
855,mauratus_homolog_ensembl_peptide,Golden Hamster protein or transcript stable ID,
856,csyrichta_homolog_wga_coverage,Tarsier Whole-genome alignment coverage,
857,agilent_sureprint_g3_ge_8x60k_v2,AGILENT SurePrint G3 GE 8x60k v2 probe,
858,dmelanogaster_homolog_perc_id,%id. target Drosophila melanogaster gene identical to query gene,
859,spunctatus_homolog_chromosome,Tuatara chromosome/scaffold name,
860,ocuniculus_homolog_ds,dS with Rabbit,
861,platipinna_homolog_canonical_transcript_protein,Query protein or transcript ID,
862,eaasinus_homolog_perc_id,%id. target Donkey gene identical to query gene,
863,ppardus_homolog_associated_gene_name,Leopard gene name,
864,cdromedarius_homolog_chromosome,Arabian camel chromosome/scaffold name,
865,bthybrid_homolog_wga_coverage,Hybrid - Bos Taurus Whole-genome alignment coverage,
866,sfasciatus_homolog_ensembl_peptide,Jewelled blenny protein or transcript stable ID,
867,malbus_homolog_chrom_start,Swamp eel chromosome/scaffold start (bp),
868,ensembl_gene_id,Gene stable ID,Stable ID of the Gene
869,gmorhua_homolog_orthology_type,Cod homology type,
870,hburtoni_homolog_chrom_start,Burton's mouthbrooder chromosome/scaffold start (bp),
871,fheteroclitus_homolog_perc_id_r1,%id. query gene identical to target Mummichog gene,
872,vvulpes_homolog_perc_id_r1,%id. query gene identical to target Red fox gene,
873,xtropicalis_homolog_ensembl_gene,Tropical clawed frog gene stable ID,
874,acchrysaetos_homolog_orthology_type,Golden eagle homology type,
875,lcrocea_homolog_chromosome,Large yellow croaker chromosome/scaffold name,
876,ggallus_homolog_ds,dS with Chicken,
877,umaritimus_homolog_chrom_end,Polar bear chromosome/scaffold end (bp),
878,lbergylta_homolog_wga_coverage,Ballan wrasse Whole-genome alignment coverage,
879,mundulatus_homolog_chrom_start,Budgerigar chromosome/scaffold start (bp),
880,itridecemlineatus_homolog_wga_coverage,Squirrel Whole-genome alignment coverage,
881,snp_som_peptide_version,,
882,eaasinus_homolog_ensembl_peptide,Donkey protein or transcript stable ID,
883,chircus_homolog_ensembl_peptide,Goat protein or transcript stable ID,
884,dnovaehollandiae_homolog_ds,dS with Emu,
885,ssalar_homolog_chrom_start,Atlantic salmon chromosome/scaffold start (bp),
886,dclupeoides_homolog_chromosome,Denticle herring chromosome/scaffold name,
887,platipinna_homolog_ensembl_gene,Sailfin molly gene stable ID,
888,lafricana_homolog_perc_id_r1,%id. query gene identical to target Elephant gene,
889,mmulatta_homolog_goc_score,Macaque Gene-order conservation score,
890,pmbairdii_homolog_goc_score,Northern American deer mouse Gene-order conservation score,
891,ogarnettii_homolog_chrom_end,Bushbaby chromosome/scaffold end (bp),
892,lchalumnae_homolog_dn,dN with Coelacanth,
893,pcinereus_homolog_canonical_transcript_protein,Query protein or transcript ID,
894,mleucophaeus_homolog_canonical_transcript_protein,Query protein or transcript ID,
895,codelink_codelink,CODELINK CODELINK probe,
896,csemilaevis_homolog_ds,dS with Tongue sole,
897,pranga_homolog_perc_id,%id. target Indian glassy fish gene identical to query gene,
898,acarolinensis_homolog_orthology_type,Anole lizard homology type,
899,psimus_homolog_canonical_transcript_protein,Query protein or transcript ID,
900,ipunctatus_homolog_associated_gene_name,Channel catfish gene name,
901,platipinna_homolog_subtype,Last common ancestor with Sailfin molly,
902,falbicollis_homolog_wga_coverage,Flycatcher Whole-genome alignment coverage,
903,preticulata_homolog_ensembl_gene,Guppy gene stable ID,
904,mgallopavo_homolog_perc_id_r1,%id. query gene identical to target Turkey gene,
905,mspicilegus_homolog_perc_id_r1,%id. query gene identical to target Steppe mouse gene,
906,sharrisii_homolog_subtype,Last common ancestor with Tasmanian devil,
907,snp_gene_version,,
908,dclupeoides_homolog_subtype,Last common ancestor with Denticle herring,
909,saurata_homolog_orthology_confidence,"Gilthead seabream orthology confidence [0 low, 1 high]",
910,cldingo_homolog_perc_id_r1,%id. query gene identical to target Dingo gene,
911,tgelada_homolog_chrom_start,Gelada chromosome/scaffold start (bp),
912,mpahari_homolog_ensembl_gene,Shrew mouse gene stable ID,
913,pabelii_homolog_perc_id,%id. target Orangutan gene identical to query gene,
914,pnattereri_homolog_ensembl_peptide,Red-bellied piranha protein or transcript stable ID,
915,fheteroclitus_homolog_chrom_end,Mummichog chromosome/scaffold end (bp),
916,coding_gene_flank,,
917,pnyererei_homolog_goc_score,Makobe Island cichlid Gene-order conservation score,
918,loculatus_homolog_chrom_end,Spotted gar chromosome/scaffold end (bp),
919,cpbellii_homolog_goc_score,Painted turtle Gene-order conservation score,
920,sformosus_homolog_associated_gene_name,Asian bonytongue gene name,
921,choffmanni_homolog_goc_score,Sloth Gene-order conservation score,
922,cfamiliaris_homolog_wga_coverage,Dog Whole-genome alignment coverage,
923,mzebra_homolog_perc_id_r1,%id. query gene identical to target Zebra mbuna gene,
924,pnyererei_homolog_chrom_start,Makobe Island cichlid chromosome/scaffold start (bp),
925,snp_ensembl_peptide_id,,
926,3_utr_start,3' UTR start,
927,xtropicalis_homolog_canonical_transcript_protein,Query protein or transcript ID,
928,amexicanus_homolog_ensembl_peptide,Mexican tetra protein or transcript stable ID,
929,cgpicr_homolog_chrom_start,Chinese hamster PICR chromosome/scaffold start (bp),
930,btaurus_homolog_dn,dN with Cow,
931,pabelii_homolog_chromosome,Orangutan chromosome/scaffold name,
932,source,Source (gene),
933,lafricana_homolog_ensembl_peptide,Elephant protein or transcript stable ID,
934,mundulatus_homolog_dn,dN with Budgerigar,
935,pvitticeps_homolog_ds,dS with Central bearded dragon,
936,cvariegatus_homolog_chrom_start,Sheepshead minnow chromosome/scaffold start (bp),
937,fcatus_homolog_chrom_end,Cat chromosome/scaffold end (bp),
938,csavignyi_homolog_ensembl_peptide,C.savignyi protein or transcript stable ID,
939,csavignyi_homolog_orthology_confidence,"C.savignyi orthology confidence [0 low, 1 high]",
940,mvitellinus_homolog_subtype,Last common ancestor with Golden-collared manakin,
941,hburtoni_homolog_canonical_transcript_protein,Query protein or transcript ID,
942,caperea_homolog_canonical_transcript_protein,Query protein or transcript ID,
943,ecaballus_homolog_goc_score,Horse Gene-order conservation score,
944,sifts_import_start,PDB-ENSP mappings start,
945,lcanadensis_homolog_chrom_end,Canada lynx chromosome/scaffold end (bp),
946,csyrichta_homolog_chrom_end,Tarsier chromosome/scaffold end (bp),
947,psinensis_homolog_chrom_end,Chinese softshell turtle chromosome/scaffold end (bp),
948,seg_end,Low complexity (Seg) end,
949,ampachon_homolog_chrom_end,Pachon cavefish chromosome/scaffold end (bp),
950,vursinus_homolog_perc_id,%id. target Common wombat gene identical to query gene,
951,ccanadensis_homolog_chromosome,American beaver chromosome/scaffold name,
952,eburgeri_homolog_dn,dN with Hagfish,
953,etelfairi_homolog_perc_id_r1,%id. query gene identical to target Lesser hedgehog tenrec gene,
954,malbus_homolog_perc_id,%id. target Swamp eel gene identical to query gene,
955,rbieti_homolog_associated_gene_name,Black snub-nosed monkey gene name,
956,applatyrhynchos_homolog_dn,dN with Duck,
957,ptaltaica_homolog_chrom_end,Tiger chromosome/scaffold end (bp),
958,mart_transcript_variation_som__dm_polyphen_score_2076,PolyPhen score,
959,charengus_homolog_chrom_start,Atlantic herring chromosome/scaffold start (bp),
960,amexicanus_homolog_associated_gene_name,Mexican tetra gene name,
961,3_utr_end,3' UTR end,
962,psinensis_homolog_dn,dN with Chinese softshell turtle,
963,gwilldenowi_homolog_ds,dS with Blunt-snouted clingfish,
964,ccapucinus_homolog_goc_score,Capuchin Gene-order conservation score,
965,ttruncatus_homolog_perc_id,%id. target Dolphin gene identical to query gene,
966,elucius_homolog_chromosome,Northern pike chromosome/scaffold name,
967,saraneus_homolog_perc_id_r1,%id. query gene identical to target Shrew gene,
968,synonymous_status,Variant consequence,
969,csemilaevis_homolog_perc_id,%id. target Tongue sole gene identical to query gene,
970,5utr,,
971,entrezgene_accession,NCBI gene accession,
972,rbieti_homolog_chrom_end,Black snub-nosed monkey chromosome/scaffold end (bp),
973,mpahari_homolog_associated_gene_name,Shrew mouse gene name,
974,lbergylta_homolog_perc_id_r1,%id. query gene identical to target Ballan wrasse gene,
975,cldingo_homolog_goc_score,Dingo Gene-order conservation score,
976,itridecemlineatus_homolog_ds,dS with Squirrel,
977,pvampyrus_homolog_chromosome,Megabat chromosome/scaffold name,
978,mlucifugus_homolog_chrom_end,Microbat chromosome/scaffold end (bp),
979,amexicanus_homolog_goc_score,Mexican tetra Gene-order conservation score,
980,rferrumequinum_homolog_perc_id,%id. target Greater horseshoe bat gene identical to query gene,
981,ggallus_homolog_wga_coverage,Chicken Whole-genome alignment coverage,
982,lchalumnae_homolog_orthology_confidence,"Coelacanth orthology confidence [0 low, 1 high]",
983,loculatus_homolog_chrom_start,Spotted gar chromosome/scaffold start (bp),
984,acalliptera_homolog_dn,dN with Eastern happy,
985,oanatinus_homolog_chromosome,Platypus chromosome/scaffold name,
986,mpahari_homolog_chromosome,Shrew mouse chromosome/scaffold name,
987,sscrofa_homolog_wga_coverage,Pig Whole-genome alignment coverage,
988,atestudineus_homolog_ensembl_peptide,Climbing perch protein or transcript stable ID,
989,etelfairi_homolog_canonical_transcript_protein,Query protein or transcript ID,
990,ptroglodytes_homolog_dn,dN with Chimpanzee,
991,start_position,Gene start (bp),Start Coordinate of the gene in chromosomal coordinates.
992,capalliatus_homolog_goc_score,Angola colobus Gene-order conservation score,
993,cvariegatus_homolog_wga_coverage,Sheepshead minnow Whole-genome alignment coverage,
994,mmusculus_homolog_orthology_type,Mouse homology type,
995,structure_translation_stable_id,,
996,csyrichta_homolog_perc_id_r1,%id. query gene identical to target Tarsier gene,
997,falbicollis_homolog_chromosome,Flycatcher chromosome/scaffold name,
998,structure_biotype,,
999,mmusculus_homolog_goc_score,Mouse Gene-order conservation score,
1000,homologs_strand,,
1001,cgobio_homolog_chrom_end,Channel bull blenny chromosome/scaffold end (bp),
1002,structure_translation_stable_id_version,,
1003,celegans_homolog_orthology_confidence,"Caenorhabditis elegans orthology confidence [0 low, 1 high]",
1004,acarolinensis_homolog_subtype,Last common ancestor with Anole lizard,
1005,atestudineus_homolog_chrom_end,Climbing perch chromosome/scaffold end (bp),
1006,chircus_homolog_orthology_confidence,"Goat orthology confidence [0 low, 1 high]",
1007,lsdomestica_homolog_subtype,Last common ancestor with Bengalese finch,
1008,scanaria_homolog_chromosome,Common canary chromosome/scaffold name,
1009,nvison_homolog_subtype,Last common ancestor with American mink,
1010,rferrumequinum_homolog_orthology_confidence,"Greater horseshoe bat orthology confidence [0 low, 1 high]",
1011,cporcellus_homolog_subtype,Last common ancestor with Guinea Pig,
1012,umaritimus_homolog_goc_score,Polar bear Gene-order conservation score,
1013,mleucophaeus_homolog_wga_coverage,Drill Whole-genome alignment coverage,
1014,scerevisiae_homolog_chrom_start,Saccharomyces cerevisiae chromosome/scaffold start (bp),
1015,mundulatus_homolog_perc_id,%id. target Budgerigar gene identical to query gene,
1016,uniprot_gn_symbol,UniProtKB Gene Name symbol,
1017,eaasinus_homolog_perc_id_r1,%id. query gene identical to target Donkey gene,
1018,munguiculatus_homolog_dn,dN with Mongolian gerbil,
1019,fcatus_homolog_ensembl_gene,Cat gene stable ID,
1020,omelastigma_homolog_associated_gene_name,Indian medaka gene name,
1021,atestudineus_homolog_subtype,Last common ancestor with Climbing perch,
1022,oniloticus_homolog_perc_id,%id. target Nile tilapia gene identical to query gene,
1023,olhni_homolog_subtype,Last common ancestor with Japanese medaka HNI,
1024,pkingsleyae_homolog_chrom_end,Paramormyrops kingsleyae chromosome/scaffold end (bp),
1025,jjaculus_homolog_goc_score,Lesser Egyptian jerboa Gene-order conservation score,
1026,lafricana_homolog_orthology_confidence,"Elephant orthology confidence [0 low, 1 high]",
1027,cmilii_homolog_dn,dN with Elephant shark,
1028,elucius_homolog_orthology_confidence,"Northern pike orthology confidence [0 low, 1 high]",
1029,lcanadensis_homolog_orthology_type,Canada lynx homology type,
1030,pnyererei_homolog_canonical_transcript_protein,Query protein or transcript ID,
1031,pcinereus_homolog_chromosome,Koala chromosome/scaffold name,
1032,gmorhua_homolog_chromosome,Cod chromosome/scaffold name,
1033,gmorhua_homolog_perc_id,%id. target Cod gene identical to query gene,
1034,dclupeoides_homolog_canonical_transcript_protein,Query protein or transcript ID,
1035,platipinna_homolog_orthology_type,Sailfin molly homology type,
1036,cjacchus_homolog_perc_id_r1,%id. query gene identical to target Marmoset gene,
1037,ptephrosceles_homolog_dn,dN with Ugandan red Colobus,
1038,cgchok1gshd_homolog_associated_gene_name,Chinese hamster CHOK1GS gene name,
1039,transcript_tsl,Transcript support level (TSL),
1040,ppaniscus_homolog_dn,dN with Bonobo,
1041,dnovemcinctus_homolog_associated_gene_name,Armadillo gene name,
1042,cintestinalis_homolog_ensembl_gene,C.intestinalis gene stable ID,
1043,sscrofa_homolog_orthology_type,Pig homology type,
1044,bgrunniens_homolog_orthology_confidence,"Domestic yak orthology confidence [0 low, 1 high]",
1045,dnovaehollandiae_homolog_subtype,Last common ancestor with Emu,
1046,pmbairdii_homolog_wga_coverage,Northern American deer mouse Whole-genome alignment coverage,
1047,pranga_homolog_ds,dS with Indian glassy fish,
1048,pcoquereli_homolog_dn,dN with Coquerel's sifaka,
1049,ggallus_homolog_subtype,Last common ancestor with Chicken,
1050,sequence_translation_stable_id,,
1051,cgcrigri_homolog_wga_coverage,Chinese hamster CriGri Whole-genome alignment coverage,
1052,munguiculatus_homolog_ensembl_peptide,Mongolian gerbil protein or transcript stable ID,
1053,lcoronata_homolog_orthology_confidence,"Blue-crowned manakin orthology confidence [0 low, 1 high]",
1054,gmorhua_homolog_ds,dS with Cod,
1055,hgfemale_homolog_canonical_transcript_protein,Query protein or transcript ID,
1056,acalliptera_homolog_chrom_end,Eastern happy chromosome/scaffold end (bp),
1057,ptaltaica_homolog_associated_gene_name,Tiger gene name,
1058,mpahari_homolog_chrom_start,Shrew mouse chromosome/scaffold start (bp),
1059,tguttata_homolog_dn,dN with Zebra finch,
1060,mmulatta_homolog_chromosome,Macaque chromosome/scaffold name,
1061,ttruncatus_homolog_chromosome,Dolphin chromosome/scaffold name,
1062,ecalabaricus_homolog_dn,dN with Reedfish,
1063,eelectricus_homolog_ds,dS with Electric eel,
1064,dmelanogaster_homolog_ensembl_gene,Drosophila melanogaster gene stable ID,
1065,vursinus_homolog_subtype,Last common ancestor with Common wombat,
1066,ppardus_homolog_perc_id_r1,%id. query gene identical to target Leopard gene,
1067,scanaria_homolog_orthology_type,Common canary homology type,
1068,pcinereus_homolog_dn,dN with Koala,
1069,mcaroli_homolog_goc_score,Ryukyu mouse Gene-order conservation score,
1070,clanigera_homolog_orthology_type,Long-tailed chinchilla homology type,
1071,csavignyi_homolog_ds,dS with C.savignyi,
1072,eburgeri_homolog_perc_id,%id. target Hagfish gene identical to query gene,
1073,ecaballus_homolog_wga_coverage,Horse Whole-genome alignment coverage,
1074,olhni_homolog_ds,dS with Japanese medaka HNI,
1075,pmbairdii_homolog_canonical_transcript_protein,Query protein or transcript ID,
1076,reactome_gene,Reactome gene ID,
1077,ocuniculus_homolog_ensembl_gene,Rabbit gene stable ID,
1078,scerevisiae_homolog_orthology_type,Saccharomyces cerevisiae homology type,
1079,fcatus_homolog_orthology_confidence,"Cat orthology confidence [0 low, 1 high]",
1080,sbboliviensis_homolog_perc_id,%id. target Bolivian squirrel monkey gene identical to query gene,
1081,sldorsalis_homolog_ensembl_gene,Yellowtail amberjack gene stable ID,
1082,itridecemlineatus_homolog_chrom_end,Squirrel chromosome/scaffold end (bp),
1083,bbbison_homolog_subtype,Last common ancestor with American bison,
1084,btaurus_homolog_chromosome,Cow chromosome/scaffold name,
1085,sscrofa_homolog_dn,dN with Pig,
1086,marmatus_homolog_wga_coverage,Zig-zag eel Whole-genome alignment coverage,
1087,somatic_minor_allele_count,Minor allele count,
1088,mpfuro_homolog_ensembl_gene,Ferret gene stable ID,
1089,shabroptila_homolog_ds,dS with Kakapo,
1090,amexicanus_homolog_chromosome,Mexican tetra chromosome/scaffold name,
1091,eburgeri_homolog_orthology_confidence,"Hagfish orthology confidence [0 low, 1 high]",
1092,homologs_peptide_version,,
1093,sequence_uniprot_sptrembl_predicted,,
1094,celegans_homolog_chromosome,Caenorhabditis elegans chromosome/scaffold name,
1095,caperea_homolog_subtype,Last common ancestor with Brazilian guinea pig,
1096,gmorhua_homolog_associated_gene_name,Cod gene name,
1097,mlucifugus_homolog_wga_coverage,Microbat Whole-genome alignment coverage,
1098,pranga_homolog_wga_coverage,Indian glassy fish Whole-genome alignment coverage,
1099,ggallus_homolog_chrom_start,Chicken chromosome/scaffold start (bp),
1100,eelectricus_homolog_dn,dN with Electric eel,
1101,lsdomestica_homolog_chrom_end,Bengalese finch chromosome/scaffold end (bp),
1102,fdamarensis_homolog_chrom_start,Damara mole rat chromosome/scaffold start (bp),
1103,acarolinensis_homolog_goc_score,Anole lizard Gene-order conservation score,
1104,munguiculatus_homolog_subtype,Last common ancestor with Mongolian gerbil,
1105,oaries_homolog_orthology_confidence,"Sheep orthology confidence [0 low, 1 high]",
1106,affy_hg_u133a_2,AFFY HG U133A 2 probe,
1107,bbbison_homolog_perc_id,%id. target American bison gene identical to query gene,
1108,somatic_source_name,Variant source,
1109,struct_transcript_count,,
1110,mart_transcript_variation_som__dm_sift_score_2076,SIFT score,
1111,ptaltaica_homolog_perc_id_r1,%id. query gene identical to target Tiger gene,
1112,loculatus_homolog_orthology_confidence,"Spotted gar orthology confidence [0 low, 1 high]",
1113,btaurus_homolog_goc_score,Cow Gene-order conservation score,
1114,oanatinus_homolog_wga_coverage,Platypus Whole-genome alignment coverage,
1115,pvampyrus_homolog_orthology_confidence,"Megabat orthology confidence [0 low, 1 high]",
1116,rferrumequinum_homolog_perc_id_r1,%id. query gene identical to target Greater horseshoe bat gene,
1117,olhni_homolog_wga_coverage,Japanese medaka HNI Whole-genome alignment coverage,
1118,sscrofa_homolog_chrom_end,Pig chromosome/scaffold end (bp),
1119,start_exon_id,Start exon id,
1120,cdromedarius_homolog_ds,dS with Arabian camel,
1121,amelanoleuca_homolog_perc_id_r1,%id. query gene identical to target Panda gene,
1122,preticulata_homolog_chrom_start,Guppy chromosome/scaffold start (bp),
1123,csavignyi_homolog_canonical_transcript_protein,Query protein or transcript ID,
1124,xtropicalis_homolog_wga_coverage,Tropical clawed frog Whole-genome alignment coverage,
1125,sequence_translation_stable_id_version,,
1126,mmusculus_homolog_dn,dN with Mouse,
1127,caperea_homolog_dn,dN with Brazilian guinea pig,
1128,tguttata_homolog_associated_gene_name,Zebra finch gene name,
1129,olhsok_homolog_ensembl_gene,Japanese medaka HSOK gene stable ID,
1130,pnattereri_homolog_associated_gene_name,Red-bellied piranha gene name,
1131,dclupeoides_homolog_perc_id,%id. target Denticle herring gene identical to query gene,
1132,hgnc_trans_name,Transcript name ID,
1133,smaximus_homolog_goc_score,Turbot Gene-order conservation score,
1134,pvampyrus_homolog_canonical_transcript_protein,Query protein or transcript ID,
1135,scanaria_homolog_ensembl_peptide,Common canary protein or transcript stable ID,
1136,mvitellinus_homolog_orthology_type,Golden-collared manakin homology type,
1137,lsdomestica_homolog_orthology_confidence,"Bengalese finch orthology confidence [0 low, 1 high]",
1138,homologs_ensembl_peptide_length,,
1139,pmarinus_homolog_perc_id,%id. target Lamprey gene identical to query gene,
1140,hhucho_homolog_ds,dS with Huchen,
1141,saraneus_homolog_ensembl_gene,Shrew gene stable ID,
1142,mundulatus_homolog_associated_gene_name,Budgerigar gene name,
1143,chircus_homolog_ensembl_gene,Goat gene stable ID,
1144,acitrinellus_homolog_chrom_end,Midas cichlid chromosome/scaffold end (bp),
1145,xtropicalis_homolog_orthology_confidence,"Tropical clawed frog orthology confidence [0 low, 1 high]",
1146,homologs_transcript_version,,
1147,dnovaehollandiae_homolog_chrom_end,Emu chromosome/scaffold end (bp),
1148,lcrocea_homolog_wga_coverage,Large yellow croaker Whole-genome alignment coverage,
1149,csavignyi_homolog_orthology_type,C.savignyi homology type,
1150,odegus_homolog_chromosome,Degu chromosome/scaffold name,
1151,dclupeoides_homolog_ds,dS with Denticle herring,
1152,mpahari_homolog_subtype,Last common ancestor with Shrew mouse,
1153,smaximus_homolog_canonical_transcript_protein,Query protein or transcript ID,
1154,mspicilegus_homolog_ensembl_peptide,Steppe mouse protein or transcript stable ID,
1155,smaximus_homolog_dn,dN with Turbot,
1156,saraneus_homolog_chrom_end,Shrew chromosome/scaffold end (bp),
1157,atestudineus_homolog_chromosome,Climbing perch chromosome/scaffold name,
1158,strutta_homolog_chrom_end,River trout chromosome/scaffold end (bp),
1159,mvitellinus_homolog_orthology_confidence,"Golden-collared manakin orthology confidence [0 low, 1 high]",
1160,ggallus_homolog_chrom_end,Chicken chromosome/scaffold end (bp),
1161,lcrocea_homolog_perc_id,%id. target Large yellow croaker gene identical to query gene,
1162,xtropicalis_homolog_ds,dS with Tropical clawed frog,
1163,sscrofa_homolog_subtype,Last common ancestor with Pig,
1164,lsdomestica_homolog_ensembl_peptide,Bengalese finch protein or transcript stable ID,
1165,dordii_homolog_chrom_end,Kangaroo rat chromosome/scaffold end (bp),
1166,pranga_homolog_chrom_end,Indian glassy fish chromosome/scaffold end (bp),
1167,ccapucinus_homolog_chrom_start,Capuchin chromosome/scaffold start (bp),
1168,oaureus_homolog_chrom_end,Blue tilapia chromosome/scaffold end (bp),
1169,cdromedarius_homolog_perc_id_r1,%id. query gene identical to target Arabian camel gene,
